NIM,Nama,Tahun,Arsitektur dan Organisasi Komputer,Aljabar Linier dan Matriks,Pancasila,Etika Profesi,Pemrograman Dasar,Bahasa Indonesia,Basis Data,Jaringan Komputer,Agama Islam,Matematika Diskrit,Kecerdasan Buatan,Sains Komputasi,Struktur Data,Statistika,Pemrograman Berbasis Platform,Sistem Operasi,Kewarganegaraan,Pemrograman Berorientasi Obyek,Interaksi Manusia dan Komputer,Matematika,Total_SKS,IPK,Minat_Jurusan
220127,Dedi Setiawan,2022,1.0,3.3,3.3,2.7,3.7,3.3,3.7,2.7,3.7,3.3,3.3,3.3,1.0,3.7,2.7,2.7,2.7,4.0,1.0,3.0,60,2.91,AI Engineering
220128,Vina Rahayu,2022,3.3,3.7,3.3,4.0,3.3,3.7,2.0,3.7,2.7,3.7,3.0,4.0,3.7,3.7,2.0,4.0,3.3,2.7,4.0,3.0,60,3.34,Cyber Security
220129,Eko Fitriani,2022,3.7,1.0,4.0,2.7,3.3,4.0,3.3,4.0,3.0,3.7,1.0,2.0,3.0,1.0,2.3,3.7,3.3,3.3,2.0,3.7,60,2.9,RPL
220130,Aris Wijaya,2022,3.3,2.3,3.3,4.0,4.0,3.3,3.0,1.0,4.0,3.0,2.7,4.0,3.0,2.0,4.0,1.0,3.3,3.7,2.7,3.3,60,3.04,RPL
220131,Eko Saputra,2022,4.0,2.3,2.7,2.7,3.3,3.3,3.7,3.7,4.0,3.7,3.0,2.0,3.0,4.0,2.0,3.7,2.7,4.0,4.0,4.0,60,3.29,RPL
220132,Indah Fitriani,2022,1.0,2.3,3.0,2.3,3.7,3.7,3.3,2.3,3.0,2.0,1.0,3.7,4.0,3.3,2.0,2.3,4.0,3.7,3.3,2.3,60,2.81,RPL
220133,Dewi Barus,2022,3.0,4.0,3.3,3.7,4.0,2.3,3.3,3.7,3.7,2.0,1.0,3.3,3.0,2.7,4.0,3.0,3.7,3.3,1.0,2.0,60,3.0,RPL
220134,Lani Sitepu,2022,3.0,2.7,1.0,3.3,2.3,2.3,2.3,3.0,3.0,4.0,1.0,3.3,2.0,2.7,4.0,3.3,1.0,1.0,1.0,1.0,60,2.36,Cyber Security
220135,Putri Susanto,2022,1.0,3.0,3.7,2.3,3.3,3.3,3.3,2.7,3.7,2.0,4.0,1.0,3.3,2.0,4.0,3.3,2.0,4.0,3.7,2.7,60,2.92,RPL
220136,Joko Siregar,2022,3.7,2.0,1.0,4.0,3.7,3.7,2.3,3.3,4.0,2.0,3.3,3.3,3.0,2.0,2.0,3.7,3.0,3.7,3.7,3.3,60,3.04,Cyber Security
220137,Taufik Mahendra,2022,3.7,3.0,4.0,4.0,3.7,1.0,2.3,4.0,3.0,2.0,3.0,4.0,1.0,4.0,3.0,3.7,2.0,2.0,3.0,4.0,60,3.02,AI Engineering
220138,Bagas Utami,2022,2.3,4.0,2.7,2.0,2.3,4.0,3.7,3.0,1.0,3.7,4.0,4.0,4.0,3.0,4.0,1.0,3.7,2.0,2.0,4.0,60,3.02,AI Engineering
220139,Dadan Pasaribu,2022,3.3,1.0,3.0,3.7,4.0,2.0,2.3,4.0,2.0,2.0,4.0,3.7,2.0,3.3,2.0,3.0,2.3,2.0,3.0,2.0,60,2.73,Cyber Security
220140,Farhan Saputra,2022,3.7,2.3,4.0,2.3,3.3,4.0,3.0,2.3,3.0,2.7,1.0,2.3,3.0,2.0,3.7,3.0,2.7,3.0,2.3,4.0,60,2.88,RPL
220141,Hendra Ginting,2022,3.0,1.0,2.0,2.0,4.0,2.0,4.0,2.3,2.7,1.0,3.0,3.0,3.0,2.3,2.7,3.7,1.0,3.0,4.0,2.0,60,2.58,RPL
220142,Nyoman Santoso,2022,3.7,3.7,3.7,2.0,3.0,2.7,3.7,1.0,1.0,1.0,1.0,2.3,3.7,2.7,4.0,2.7,1.0,4.0,3.7,2.0,60,2.63,RPL
220143,Zaki Wijaya,2022,2.7,3.3,3.7,2.0,3.0,3.0,3.0,1.0,3.7,3.7,2.3,2.3,3.0,2.3,2.7,3.7,3.0,4.0,4.0,2.7,60,2.96,RPL
220144,Aris Hardi,2022,2.0,2.7,3.0,3.0,2.0,2.7,2.7,4.0,3.0,2.0,3.0,2.7,2.3,4.0,3.7,3.0,2.7,2.7,4.0,2.7,60,2.9,Cyber Security
220145,Doni Manurung,2022,3.0,2.3,2.3,3.7,3.0,4.0,3.7,2.3,1.0,4.0,2.3,2.0,3.7,3.7,2.7,1.0,3.0,4.0,2.7,3.0,60,2.87,RPL
220146,Dewi Lestari,2022,3.0,2.7,4.0,2.3,3.7,1.0,2.0,4.0,2.0,3.0,3.3,4.0,2.0,3.7,3.0,2.0,2.7,2.7,3.7,3.3,60,2.91,AI Engineering
220147,Citra Fitriani,2022,3.7,2.3,3.3,3.3,3.3,2.0,3.7,3.3,4.0,3.3,2.0,2.3,3.3,2.3,3.3,3.7,2.7,3.0,4.0,4.0,60,3.14,RPL
220148,Dedi Rahayu,2022,3.3,2.3,2.7,2.7,3.7,2.3,3.0,2.7,4.0,1.0,2.7,3.3,3.7,3.3,4.0,4.0,2.0,4.0,3.7,2.7,60,3.06,RPL
220149,Gani Hidayat,2022,1.0,3.7,1.0,1.0,3.3,3.7,2.7,3.0,1.0,2.3,3.0,3.0,3.0,3.3,1.0,1.0,2.3,3.3,4.0,3.3,60,2.49,AI Engineering
220150,Hana Santoso,2022,3.0,1.0,2.3,2.7,4.0,2.0,2.7,1.0,2.0,1.0,3.3,3.0,2.7,4.0,2.7,3.7,2.0,3.3,2.0,3.7,60,2.61,AI Engineering
220151,Doni Al-Faris,2022,1.0,3.0,2.3,4.0,3.0,3.3,2.3,4.0,3.3,1.0,3.7,3.7,3.0,4.0,2.0,2.7,2.0,4.0,2.0,4.0,60,2.92,AI Engineering
220152,Dadan Santoso,2022,2.7,2.0,3.7,3.0,3.0,2.0,3.3,1.0,1.0,2.0,3.7,1.0,4.0,4.0,2.0,2.0,2.3,3.3,2.0,2.3,60,2.51,RPL
220153,Eko Simanjuntak,2022,3.0,3.3,3.3,4.0,3.3,2.0,3.3,3.3,4.0,2.7,1.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,2.7,60,3.1,RPL
220154,Gita Nasution,2022,2.0,1.0,3.7,4.0,3.7,3.0,3.0,3.3,2.7,4.0,2.0,1.0,4.0,3.0,4.0,3.7,3.7,3.3,2.7,4.0,60,3.09,RPL
220155,Siti Siregar,2022,3.3,3.0,3.3,2.7,4.0,2.0,3.3,3.0,1.0,1.0,1.0,3.0,3.7,1.0,2.0,3.3,2.7,3.0,2.3,2.3,60,2.54,RPL
220156,Rosa Ramadhan,2022,2.7,3.3,3.3,3.0,3.3,3.0,3.7,3.0,3.0,4.0,2.7,2.0,3.3,4.0,3.3,2.7,3.7,3.0,4.0,2.7,60,3.19,RPL
220157,Taufik Hidayat,2022,2.0,1.0,2.7,4.0,3.3,2.7,2.3,4.0,2.3,2.0,3.0,2.7,1.0,2.3,3.0,3.3,4.0,2.0,3.7,3.3,60,2.73,Cyber Security
220158,Rina Ramadhan,2022,1.0,1.0,2.3,2.0,3.7,2.7,3.0,2.7,3.0,3.0,3.0,3.3,4.0,4.0,2.3,4.0,2.0,2.0,2.0,3.0,60,2.7,AI Engineering
220159,Budi Puspita,2022,2.3,4.0,4.0,2.3,3.3,3.3,3.0,3.3,4.0,4.0,3.7,2.3,3.3,2.0,3.3,3.7,4.0,3.3,2.7,3.0,60,3.24,RPL
220160,Putri Hardi,2022,1.0,2.7,4.0,2.0,4.0,1.0,4.0,3.7,2.0,3.0,4.0,3.7,4.0,3.3,2.7,2.0,2.0,3.3,1.0,3.0,60,2.82,AI Engineering
220161,Aris Puspita,2022,2.3,3.7,2.7,3.7,3.7,3.3,2.7,3.7,4.0,3.3,3.7,3.3,3.3,4.0,3.7,4.0,4.0,3.7,2.3,2.0,60,3.35,Cyber Security
220162,Agus Ginting,2022,2.3,4.0,4.0,3.3,2.3,2.0,3.7,3.7,3.7,4.0,4.0,2.7,2.3,2.3,2.3,3.3,1.0,2.3,2.7,3.7,60,2.98,Cyber Security
220163,Aris Pasaribu,2022,3.0,2.7,3.3,3.0,2.3,3.0,2.3,3.0,3.3,3.3,4.0,4.0,2.3,4.0,2.7,3.7,3.0,2.3,2.3,3.0,60,3.02,AI Engineering
220164,Gani Kusuma,2022,2.7,2.7,3.3,3.0,2.3,1.0,3.3,4.0,2.7,3.3,3.3,3.0,2.0,2.7,3.7,3.7,2.7,3.3,2.0,2.3,60,2.85,Cyber Security
220165,Laila Barus,2022,1.0,3.7,3.0,3.0,2.0,2.7,2.3,4.0,3.7,2.0,2.0,4.0,4.0,2.0,3.3,3.7,2.0,2.7,4.0,3.0,60,2.91,Cyber Security
220166,Putri Aminah,2022,3.7,2.0,3.7,3.0,2.3,4.0,3.0,4.0,3.0,4.0,2.3,3.7,4.0,1.0,3.3,3.3,3.0,1.0,2.7,2.7,60,2.99,Cyber Security
220167,Joko Ginting,2022,3.0,3.7,1.0,4.0,3.0,3.0,4.0,3.7,2.3,4.0,1.0,3.3,3.7,3.7,2.3,3.7,3.3,3.7,2.3,3.3,60,3.1,RPL
220168,Dedi Hidayat,2022,2.7,3.7,2.0,3.3,3.7,1.0,1.0,3.7,2.3,2.0,3.3,3.3,4.0,4.0,3.3,3.3,4.0,3.3,3.3,3.0,60,3.01,AI Engineering
220169,Dedi Hidayat,2022,2.7,3.3,2.0,1.0,3.0,3.0,2.0,2.7,1.0,2.0,3.3,3.3,1.0,3.3,2.3,3.7,3.7,2.3,3.3,3.3,60,2.61,AI Engineering
220170,Gani Mahendra,2022,3.0,3.0,2.7,4.0,3.0,2.3,3.3,4.0,3.0,4.0,4.0,2.0,2.0,3.3,3.0,3.3,1.0,2.0,2.7,2.3,60,2.89,Cyber Security
220171,Dewi Kurniawan,2022,3.7,4.0,2.7,3.3,1.0,2.3,2.3,3.0,2.0,3.7,3.3,3.3,1.0,3.3,2.0,3.7,3.0,2.0,3.3,1.0,60,2.69,Cyber Security
220172,Nyoman Barus,2022,2.7,1.0,3.0,1.0,3.0,2.0,3.7,1.0,2.0,1.0,3.0,1.0,3.7,2.3,2.0,2.0,1.0,3.3,1.0,1.0,60,2.03,RPL
220173,Aris Pasaribu,2022,2.7,2.7,2.7,4.0,2.0,2.3,1.0,4.0,2.0,1.0,2.3,3.7,1.0,1.0,3.0,3.7,1.0,2.0,4.0,1.0,60,2.36,Cyber Security
220174,Bambang Wijaya,2022,4.0,3.7,4.0,3.3,3.0,3.7,3.3,3.3,2.7,2.7,2.0,3.7,1.0,3.3,4.0,3.7,3.3,4.0,4.0,3.3,60,3.3,Cyber Security
220175,Farhan Sitepu,2022,2.0,4.0,3.7,1.0,2.3,2.7,2.0,2.3,4.0,2.3,3.7,4.0,3.7,4.0,4.0,3.7,2.0,1.0,2.0,4.0,60,2.92,AI Engineering
220176,Andi Wulandari,2022,2.7,3.3,2.7,2.0,3.7,3.0,3.0,4.0,3.7,3.7,2.7,3.0,3.3,3.3,3.7,3.7,2.0,3.7,3.7,2.0,60,3.15,RPL
220177,Siska Barus,2022,1.0,2.3,3.7,3.0,3.0,3.3,4.0,2.3,2.0,2.0,4.0,3.0,4.0,2.0,1.0,1.0,3.0,3.7,2.0,4.0,60,2.72,RPL
220178,Farhan Wijaya,2022,3.7,2.3,3.7,1.0,3.3,4.0,3.3,2.0,3.3,3.7,3.0,3.0,3.0,2.7,4.0,4.0,3.0,4.0,2.3,2.0,60,3.06,RPL
220179,Doni Mahendra,2022,3.3,3.7,3.3,1.0,4.0,4.0,4.0,3.0,2.0,3.3,4.0,2.7,3.0,3.3,2.3,2.0,3.0,3.0,1.0,4.0,60,3.0,RPL
220180,Rizky Mulyono,2022,3.3,2.0,2.0,1.0,4.0,2.7,4.0,4.0,3.0,3.0,3.3,3.7,4.0,3.3,2.3,3.3,2.0,3.3,3.7,2.0,60,2.99,RPL
220181,Nyoman Hidayat,2022,2.0,3.7,4.0,3.0,4.0,3.7,4.0,3.0,3.0,3.3,2.7,3.3,3.7,3.0,2.0,3.3,2.3,4.0,2.0,3.0,60,3.15,RPL
220182,Andi Kurniawan,2022,2.7,4.0,2.7,4.0,2.7,4.0,4.0,3.0,3.7,2.7,3.3,4.0,4.0,4.0,3.7,1.0,3.0,2.3,1.0,3.0,60,3.14,AI Engineering
220183,Rina Siahaan,2022,3.7,2.7,4.0,3.0,4.0,4.0,3.7,3.0,4.0,3.7,2.7,2.7,3.3,2.0,1.0,1.0,4.0,3.3,3.0,3.3,60,3.1,RPL
220184,Laila Susanto,2022,2.3,2.3,1.0,2.0,3.3,3.3,3.7,3.3,3.3,4.0,2.0,4.0,3.3,2.3,2.0,3.3,3.3,3.0,2.0,2.3,60,2.8,RPL
220185,Putri Kusuma,2022,1.0,3.0,3.3,3.7,2.0,3.7,2.7,2.3,3.7,2.0,3.0,3.3,3.7,3.7,3.3,3.0,4.0,3.3,3.3,3.0,60,3.05,AI Engineering
220186,Made Puspita,2022,2.0,2.3,2.0,3.0,3.0,2.7,4.0,3.3,2.0,1.0,3.3,3.7,1.0,3.7,2.7,1.0,3.7,2.3,3.3,4.0,60,2.7,AI Engineering
220187,Putu Chaniago,2022,3.7,3.3,3.0,3.3,2.3,3.3,3.3,4.0,2.7,2.7,2.7,4.0,3.7,3.3,2.0,3.3,2.0,3.0,3.0,3.0,60,3.08,Cyber Security
220188,Rina Lubis,2022,3.0,2.0,4.0,3.0,1.0,4.0,2.7,2.7,4.0,1.0,3.0,3.3,3.7,3.7,2.3,2.7,2.0,2.0,2.3,3.0,60,2.77,AI Engineering
220189,Rina Chaniago,2022,1.0,3.7,1.0,4.0,2.7,2.3,2.3,3.7,4.0,3.0,3.0,1.0,3.0,3.0,3.7,4.0,1.0,3.7,2.7,3.3,60,2.81,Cyber Security
220190,Rizky Sitepu,2022,3.3,4.0,2.0,4.0,3.7,3.3,1.0,3.7,2.7,3.7,2.7,1.0,2.0,3.0,3.0,3.7,1.0,2.7,3.3,3.0,60,2.84,Cyber Security
220191,Gani Hardi,2022,3.3,2.7,2.7,4.0,3.0,2.0,3.0,3.7,3.0,1.0,4.0,3.7,3.3,3.3,3.7,3.7,1.0,3.3,3.3,3.3,60,3.05,RPL
220192,Dadan Ramadhan,2022,2.7,4.0,3.3,4.0,2.0,2.3,3.7,3.0,1.0,3.0,2.3,3.0,3.0,1.0,4.0,3.7,3.7,3.7,2.0,2.7,60,2.91,Cyber Security
220193,Zaki Hardi,2022,2.7,1.0,4.0,3.3,2.3,3.0,3.0,3.7,2.0,2.7,3.0,3.3,3.0,2.3,4.0,3.7,3.3,3.3,3.0,3.7,60,3.01,Cyber Security
220194,Vina Pohan,2022,1.0,2.3,3.7,4.0,2.7,4.0,2.7,3.3,2.0,2.7,3.3,2.0,3.0,2.3,4.0,3.7,2.3,2.3,2.3,2.7,60,2.81,Cyber Security
220195,Andi Simanjuntak,2022,2.3,1.0,2.7,3.3,3.3,1.0,2.3,3.0,3.3,3.3,3.7,3.7,3.0,4.0,3.0,2.0,1.0,3.0,1.0,3.0,60,2.65,AI Engineering
220196,Farhan Tanjung,2022,2.0,1.0,2.3,3.7,4.0,3.7,4.0,4.0,3.3,4.0,2.0,3.3,4.0,2.7,3.0,2.7,2.3,3.7,2.7,2.7,60,3.06,RPL
220197,Dedi Siahaan,2022,2.3,4.0,3.3,3.0,3.7,4.0,3.3,3.0,2.0,1.0,2.7,2.7,2.0,3.7,2.0,3.0,4.0,2.7,1.0,3.0,60,2.82,Cyber Security
220198,Siska Santoso,2022,4.0,3.7,2.0,3.0,3.0,4.0,3.0,3.3,1.0,3.0,3.7,2.0,3.7,3.0,3.7,3.7,3.3,4.0,3.3,2.7,60,3.16,Cyber Security
220199,Rosa Harahap,2022,2.0,3.0,3.0,3.7,4.0,3.3,3.7,1.0,1.0,2.7,2.0,2.0,3.3,3.7,2.7,3.7,2.3,3.0,2.3,2.3,60,2.73,RPL
220200,Zaki Utami,2022,3.3,1.0,2.3,4.0,3.0,3.3,4.0,4.0,2.0,3.3,4.0,3.0,3.7,3.7,3.3,4.0,4.0,2.3,4.0,3.0,60,3.26,Cyber Security
230001,Iwan Siahaan,2023,2.3,2.7,2.7,3.0,2.7,1.0,1.0,3.7,3.3,2.0,3.3,4.0,2.0,3.7,2.0,3.3,1.0,4.0,1.0,2.3,60,2.55,Cyber Security
230002,Rina Zulkarnain,2023,3.3,3.7,3.0,3.7,2.3,2.7,3.7,4.0,3.7,2.7,2.7,2.0,2.0,1.0,3.7,3.3,3.7,3.3,2.7,3.0,60,3.01,Cyber Security
230003,Dewi Hardi,2023,3.0,3.0,3.7,1.0,3.3,2.3,3.7,2.3,2.3,3.3,3.0,2.3,3.0,2.7,3.0,2.3,3.0,3.0,3.7,4.0,60,2.9,RPL
230004,Aris Simanjuntak,2023,2.3,2.0,4.0,1.0,4.0,3.3,3.3,3.0,4.0,2.7,3.7,4.0,3.0,3.7,2.7,2.7,3.7,3.7,1.0,2.3,60,3.01,RPL
230005,Budi Siregar,2023,4.0,2.7,2.3,2.3,3.3,3.3,3.0,3.3,2.3,2.0,2.3,3.7,4.0,2.0,2.3,2.7,1.0,4.0,1.0,3.3,60,2.74,RPL
230006,Lani Pasaribu,2023,3.3,1.0,1.0,4.0,4.0,3.0,2.7,3.3,2.0,3.0,3.0,2.3,2.7,2.0,3.3,3.0,2.0,1.0,2.0,2.0,60,2.53,Cyber Security
230007,Lani Puspita,2023,2.7,1.0,2.0,4.0,3.0,3.7,2.7,3.0,1.0,4.0,3.7,2.7,4.0,2.3,3.0,4.0,2.0,3.3,1.0,3.3,60,2.82,Cyber Security
230008,Nyoman Sitepu,2023,1.0,1.0,1.0,2.3,3.0,4.0,3.0,2.7,2.0,1.0,3.3,3.0,2.7,3.3,2.0,2.7,3.0,2.7,2.7,4.0,60,2.52,AI Engineering
230009,Hana Siregar,2023,3.3,2.0,3.3,3.3,4.0,3.0,3.3,4.0,3.3,2.7,1.0,3.7,3.0,3.7,2.0,2.3,3.3,3.0,2.0,4.0,60,3.01,RPL
230010,Aris Kusuma,2023,3.0,3.7,3.3,3.3,2.3,4.0,4.0,3.0,4.0,2.7,3.7,2.0,3.3,2.7,3.0,3.7,3.0,2.7,3.0,2.7,60,3.16,Cyber Security
230011,Laila Saputra,2023,2.3,3.3,3.7,3.0,3.0,2.3,3.0,1.0,3.3,3.3,4.0,3.0,2.3,3.3,3.0,2.0,3.3,4.0,3.0,3.7,60,2.99,AI Engineering
230012,Hana Wijaya,2023,3.3,2.3,3.3,3.0,3.0,1.0,1.0,4.0,2.0,3.0,4.0,4.0,4.0,3.7,3.3,1.0,2.7,3.0,3.0,3.0,60,2.88,AI Engineering
230013,Putu Ramadhan,2023,3.3,3.0,2.0,3.7,3.3,4.0,3.3,3.0,2.7,2.7,3.3,4.0,3.7,2.3,4.0,3.7,2.7,2.0,3.7,3.3,60,3.19,Cyber Security
230014,Eko Al-Faris,2023,4.0,3.7,3.7,3.3,2.7,2.7,4.0,3.0,2.0,4.0,3.0,4.0,3.3,3.0,3.7,3.7,4.0,2.7,2.3,2.0,60,3.24,Cyber Security
230015,Tania Wijaya,2023,3.3,3.0,3.7,2.7,3.3,4.0,4.0,2.3,2.0,2.3,4.0,2.3,3.7,4.0,2.0,3.0,1.0,4.0,2.3,3.3,60,3.01,RPL
230016,Zaki Siregar,2023,3.0,2.0,3.7,3.0,3.3,3.3,3.3,3.3,1.0,4.0,4.0,3.3,4.0,4.0,4.0,3.7,3.3,2.3,4.0,3.7,60,3.31,AI Engineering
230017,Bagas Manurung,2023,3.7,2.0,2.7,4.0,2.3,3.0,3.3,3.0,2.7,3.0,1.0,3.7,3.0,4.0,2.7,3.0,2.3,4.0,4.0,2.3,60,2.98,Cyber Security
230018,Maya Hasibuan,2023,4.0,3.0,2.7,4.0,1.0,3.0,2.3,3.3,3.7,3.0,4.0,3.7,4.0,4.0,3.7,2.7,2.7,2.0,3.7,3.3,60,3.19,AI Engineering
230019,Citra Sari,2023,2.7,3.0,3.3,1.0,4.0,3.0,3.0,4.0,2.7,3.0,2.3,1.0,3.3,1.0,3.7,2.3,3.7,4.0,2.3,4.0,60,2.86,RPL
230020,Budi Mulyono,2023,3.7,2.0,3.7,1.0,3.7,3.7,2.0,2.0,4.0,1.0,3.3,3.7,2.7,3.7,2.7,2.0,3.7,3.0,2.0,4.0,60,2.88,AI Engineering
230021,Hendra Susanto,2023,3.7,2.3,3.3,1.0,3.7,3.7,3.0,2.7,2.0,2.0,4.0,2.7,3.7,2.3,3.7,4.0,3.0,4.0,1.0,2.0,60,2.89,RPL
230022,Made Ginting,2023,3.0,4.0,3.7,2.7,3.7,3.7,1.0,3.3,4.0,2.0,4.0,3.0,2.7,4.0,2.0,3.3,1.0,3.7,2.7,3.7,60,3.06,AI Engineering
230023,Dedi Kusuma,2023,2.3,4.0,3.3,4.0,3.0,3.3,3.3,3.3,2.3,4.0,2.3,3.7,3.0,3.0,3.7,2.7,2.0,3.0,4.0,1.0,60,3.06,RPL
230024,Gani Setiawan,2023,4.0,2.7,1.0,4.0,2.3,2.0,2.0,3.3,1.0,1.0,4.0,3.7,1.0,3.7,4.0,4.0,3.7,1.0,3.3,3.0,60,2.74,Cyber Security
230025,Indah Sembiring,2023,3.3,1.0,2.0,3.7,1.0,1.0,1.0,3.0,2.7,4.0,2.0,2.3,1.0,3.7,2.7,3.0,4.0,3.0,3.0,2.0,60,2.47,Cyber Security
230026,Nyoman Barus,2023,2.3,2.3,3.3,3.3,2.0,2.3,2.0,3.0,2.3,4.0,3.0,2.0,1.0,3.3,3.0,3.7,2.7,3.0,3.0,3.7,60,2.76,Cyber Security
230027,Fajar Pasaribu,2023,4.0,3.7,2.7,3.3,4.0,2.7,3.7,3.0,2.0,3.3,3.7,4.0,3.3,2.0,3.7,3.7,2.7,3.0,3.7,2.7,60,3.25,Cyber Security
230028,Zaki Susanto,2023,4.0,2.3,2.0,1.0,3.7,2.7,1.0,2.3,4.0,2.0,4.0,3.0,2.3,3.0,2.0,2.0,2.3,3.7,2.7,4.0,60,2.7,AI Engineering
230029,Dedi Saputra,2023,1.0,3.3,3.0,3.7,1.0,2.7,4.0,3.3,3.7,3.3,3.0,4.0,3.0,4.0,2.0,2.0,3.7,2.0,3.3,3.7,60,2.99,AI Engineering
230030,Rosa Tanjung,2023,3.7,4.0,3.7,4.0,1.0,3.7,2.7,4.0,3.3,2.3,2.0,2.3,3.0,2.7,1.0,4.0,2.3,1.0,4.0,4.0,60,2.93,Cyber Security
230031,Putu Pratama,2023,3.3,3.7,1.0,4.0,4.0,3.0,3.7,3.0,3.0,2.7,2.3,4.0,2.7,2.7,3.7,3.3,2.7,3.7,2.3,3.7,60,3.13,Cyber Security
230032,Putri Setiawan,2023,2.3,3.3,2.0,1.0,3.3,4.0,3.7,3.7,2.0,2.3,1.0,1.0,4.0,1.0,1.0,4.0,3.0,3.3,1.0,2.7,60,2.48,RPL
230033,Gita Lestari,2023,4.0,1.0,2.3,2.7,3.7,2.0,3.0,3.3,2.7,3.3,2.0,3.3,3.3,2.7,1.0,3.0,3.3,3.0,1.0,2.3,60,2.64,RPL
230034,Dedi Hasibuan,2023,2.0,2.7,1.0,3.7,3.7,2.3,3.3,3.0,2.0,1.0,3.3,3.7,3.7,4.0,3.7,4.0,2.3,3.7,1.0,2.0,60,2.81,RPL
230035,Hendra Lubis,2023,3.0,3.7,2.0,3.3,4.0,3.3,3.0,3.3,4.0,4.0,1.0,3.3,4.0,3.3,3.0,1.0,3.3,3.0,4.0,2.7,60,3.11,RPL
230036,Rosa Wijaya,2023,3.7,1.0,3.3,3.0,2.3,2.0,4.0,2.7,2.0,3.0,3.3,3.3,3.7,4.0,1.0,2.3,3.3,2.7,2.3,3.7,60,2.83,AI Engineering
230037,Dewi Ramadhan,2023,2.3,3.7,3.7,4.0,4.0,3.0,1.0,1.0,3.3,2.0,3.7,3.3,2.3,4.0,3.7,4.0,2.0,2.7,1.0,3.7,60,2.92,AI Engineering
230038,Agus Susanto,2023,2.7,2.3,1.0,3.7,1.0,2.0,2.7,1.0,4.0,3.7,3.3,3.0,4.0,3.7,2.3,2.7,2.7,3.3,2.0,3.0,60,2.71,AI Engineering
230039,Fajar Lestari,2023,2.0,3.7,4.0,4.0,3.0,2.0,3.0,4.0,1.0,3.7,1.0,2.7,3.0,3.3,3.3,3.0,3.7,2.0,2.7,2.0,60,2.85,Cyber Security
230040,Tania Siahaan,2023,4.0,1.0,2.7,2.7,3.7,2.7,4.0,3.7,2.7,3.3,1.0,2.3,3.3,4.0,3.3,4.0,1.0,3.7,2.0,4.0,60,2.95,RPL
230041,Iwan Ramadhan,2023,2.0,1.0,3.3,2.3,1.0,2.0,2.0,4.0,3.0,3.7,3.3,3.7,1.0,4.0,3.0,3.3,2.0,3.0,3.7,3.0,60,2.71,AI Engineering
230042,Laila Kurniawan,2023,3.3,3.3,2.7,3.3,3.0,4.0,2.0,2.7,3.0,4.0,3.7,3.7,3.7,3.7,2.7,3.7,3.3,1.0,3.3,3.7,60,3.19,AI Engineering
230043,Made Tanjung,2023,2.0,3.0,2.3,3.7,3.7,3.0,3.7,3.3,3.7,1.0,2.0,1.0,3.3,2.3,3.7,3.0,3.3,2.7,3.7,4.0,60,2.92,Cyber Security
230044,Taufik Aminah,2023,3.7,2.3,3.7,2.3,3.3,3.7,4.0,1.0,2.7,4.0,3.3,3.3,2.7,3.3,3.7,3.0,3.0,3.3,2.0,3.7,60,3.1,AI Engineering
230045,Nina Wijaya,2023,3.7,4.0,1.0,2.3,3.0,3.0,3.3,1.0,3.0,1.0,3.3,4.0,3.7,2.7,2.0,3.0,2.3,3.0,2.7,1.0,60,2.65,RPL
230046,Andi Saputra,2023,3.3,4.0,3.7,3.3,2.7,2.3,2.3,3.3,4.0,1.0,2.3,3.0,4.0,2.3,3.0,3.0,3.3,3.0,3.7,3.3,60,3.04,Cyber Security
230047,Zaki Fitriani,2023,3.7,2.3,2.0,2.0,4.0,3.7,2.7,1.0,4.0,4.0,3.7,3.3,2.7,3.7,3.3,3.7,4.0,2.0,2.0,4.0,60,3.09,AI Engineering
230048,Siti Zulkarnain,2023,2.0,4.0,2.7,2.3,4.0,2.3,4.0,2.7,4.0,2.3,2.3,1.0,4.0,3.3,3.7,3.0,4.0,4.0,2.3,3.0,60,3.04,RPL
230049,Nina Zulkarnain,2023,3.3,2.7,2.0,3.3,2.0,3.7,3.0,3.7,2.0,1.0,3.7,2.7,2.3,2.3,3.7,3.0,3.7,4.0,2.3,4.0,60,2.92,Cyber Security
230050,Dedi Mulyono,2023,3.0,1.0,4.0,3.0,3.3,3.3,4.0,2.7,2.0,3.0,1.0,2.7,3.0,3.0,3.0,3.3,2.0,4.0,1.0,1.0,60,2.67,RPL
230051,Budi Mulyono,2023,4.0,2.3,2.7,4.0,4.0,3.0,3.7,2.7,3.0,2.7,1.0,1.0,3.0,4.0,2.3,2.3,3.7,3.7,2.3,1.0,60,2.82,RPL
230052,Gita Nasution,2023,2.7,3.7,2.0,3.7,3.0,2.7,3.7,3.7,3.7,3.3,3.7,3.7,3.7,3.0,3.7,2.3,3.7,2.7,4.0,3.0,60,3.29,AI Engineering
230053,Andi Sari,2023,4.0,2.7,3.3,2.3,4.0,1.0,3.0,4.0,2.0,4.0,4.0,2.0,4.0,1.0,3.3,2.3,4.0,4.0,1.0,2.7,60,2.93,RPL
230054,Hana Pohan,2023,4.0,1.0,2.3,3.7,4.0,2.7,3.0,3.7,3.0,4.0,3.7,4.0,3.0,4.0,3.3,1.0,2.7,4.0,1.0,2.7,60,3.04,RPL
