nama,tahun_data,matematika,pemrograman_dasar,basis_data,jaringan_komputer,kecerdasan_buatan,struktur_data,statistika,sistem_operasi,pbo,minat_jurusan
Gita Saputra,2023,3.0,3.3,4.0,3.7,2.3,3.0,1.0,1.0,3.7,RPL
Laila Pohan,2023,3.7,2.7,3.3,3.0,3.3,2.0,3.3,2.0,3.0,AI Engineering
Indah Hasibuan,2023,2.7,3.7,3.3,3.3,2.0,2.7,3.7,3.3,2.7,Cyber Security
Siska Siahaan,2023,4.0,2.0,4.0,3.0,4.0,4.0,3.7,3.7,4.0,Cyber Security
Citra Nasution,2023,3.3,2.3,1.0,3.0,3.0,4.0,3.0,3.7,3.7,AI Engineering
Rizky Siregar,2023,3.3,3.0,4.0,3.7,3.3,4.0,2.0,2.0,4.0,RPL
Farhan Wulandari,2023,2.3,2.7,2.0,3.3,3.3,1.0,3.3,3.3,3.0,Cyber Security
Rina Kusuma,2023,4.0,3.0,4.0,2.7,1.0,4.0,3.0,3.7,3.3,RPL
Dadan Wijaya,2023,3.7,3.3,3.3,2.7,3.0,2.0,4.0,3.3,3.3,AI Engineering
Laila Pasaribu,2023,4.0,2.3,3.7,3.0,3.0,2.3,3.7,4.0,3.3,Cyber Security
Made Saputra,2023,3.0,2.0,2.0,4.0,3.0,2.3,2.7,3.7,1.0,Cyber Security
Dedi Siahaan,2023,3.3,1.0,2.0,3.7,1.0,2.0,3.7,3.7,3.3,Cyber Security
Bambang Hidayat,2023,3.0,3.3,2.0,3.0,4.0,3.7,3.3,4.0,4.0,AI Engineering
Ayu Fitriani,2023,2.7,3.0,4.0,3.0,2.0,1.0,1.0,3.3,4.0,Cyber Security
Budi Tanjung,2023,3.3,3.0,1.0,1.0,3.0,3.7,3.3,2.0,2.3,AI Engineering
Rizky Chaniago,2023,3.3,4.0,2.7,3.0,4.0,3.3,3.7,2.0,2.3,AI Engineering
Bagas Utami,2023,2.0,2.3,3.0,3.7,1.0,3.7,3.3,4.0,3.7,Cyber Security
Ayu Kusuma,2023,3.3,2.0,3.3,3.0,3.3,1.0,2.7,3.7,3.3,Cyber Security
Dedi Pasaribu,2023,2.3,3.3,2.7,4.0,1.0,2.3,1.0,3.7,2.0,Cyber Security
Hendra Saputra,2023,4.0,4.0,3.3,2.0,3.0,3.0,4.0,2.0,4.0,RPL
Putri Al-Faris,2023,4.0,3.3,1.0,1.0,3.3,3.7,3.3,4.0,2.3,AI Engineering
Joko Siregar,2023,2.0,3.3,4.0,3.0,3.0,3.0,2.3,2.3,3.3,RPL
Hendra Ginting,2023,2.3,3.0,2.3,3.7,1.0,4.0,3.7,3.0,3.3,Cyber Security
Rina Pohan,2023,3.0,4.0,2.0,2.3,3.0,3.0,3.7,2.7,3.0,AI Engineering
Hana Aminah,2023,3.7,2.7,4.0,2.0,3.7,3.7,4.0,2.0,2.0,AI Engineering
Bagas Wulandari,2023,3.3,3.7,3.7,2.0,4.0,4.0,2.7,1.0,4.0,RPL
Putu Pasaribu,2023,2.7,4.0,3.0,3.0,2.0,4.0,3.3,2.3,3.0,RPL
Budi Tanjung,2023,3.7,3.7,3.3,3.7,4.0,2.3,3.7,4.0,2.3,AI Engineering
Putu Manurung,2023,2.3,3.0,4.0,4.0,2.0,3.3,3.3,2.3,3.3,RPL
Dewi Mulyono,2023,3.7,2.3,3.7,3.0,3.7,2.7,2.0,3.0,1.0,Cyber Security
Gita Hasibuan,2023,1.0,4.0,3.7,1.0,2.7,4.0,2.0,3.3,3.7,RPL
Andi Aminah,2023,3.7,3.7,4.0,4.0,4.0,3.0,2.7,3.0,1.0,Cyber Security
Made Hardi,2023,4.0,4.0,3.3,2.7,2.0,3.0,3.7,2.7,3.7,RPL
Doni Setiawan,2023,3.3,2.0,2.7,3.3,2.7,2.7,2.0,3.3,2.0,Cyber Security
Dadan Harahap,2023,2.7,4.0,3.0,1.0,3.0,4.0,4.0,3.3,3.3,RPL
Bambang Susanto,2023,2.0,3.3,3.3,3.7,3.7,3.0,4.0,3.0,3.0,RPL
Siska Manurung,2023,3.3,1.0,2.3,4.0,3.3,3.7,3.7,3.7,3.0,AI Engineering
Joko Utami,2023,3.0,3.3,3.0,3.0,3.0,4.0,4.0,4.0,2.3,AI Engineering
Bambang Chaniago,2023,3.7,3.7,1.0,3.0,3.3,3.3,2.3,3.3,3.3,Cyber Security
Maya Hasibuan,2023,3.7,2.7,3.0,2.0,3.3,2.3,3.0,2.3,3.7,AI Engineering
Rizky Wijaya,2023,3.7,3.7,3.3,1.0,2.0,3.3,2.7,3.7,3.0,RPL
Rina Chaniago,2023,2.3,2.7,2.7,3.7,3.7,2.3,2.0,3.7,2.3,Cyber Security
Dadan Lestari,2023,3.7,3.3,4.0,3.0,3.7,3.7,2.0,2.7,4.0,RPL
Gani Pratama,2023,3.0,3.7,4.0,3.3,2.3,3.3,3.3,2.3,3.0,RPL
Joko Kusuma,2023,3.0,3.0,4.0,4.0,2.3,2.7,2.0,3.7,3.7,Cyber Security
Zaki Puspita,2023,1.0,1.0,2.7,3.3,1.0,2.3,2.0,3.0,4.0,Cyber Security
Nina Siregar,2023,1.0,2.7,2.0,3.0,3.0,2.3,2.3,4.0,3.7,Cyber Security
Nina Santoso,2023,4.0,4.0,2.3,3.7,4.0,2.7,2.3,4.0,3.7,Cyber Security
Ayu Harahap,2023,2.3,3.3,3.0,2.7,3.3,3.7,2.0,4.0,4.0,RPL
Gita Hasibuan,2023,3.7,2.3,3.0,1.0,4.0,2.0,3.7,2.3,3.3,AI Engineering
Rosa Sari,2023,2.3,3.3,4.0,2.7,4.0,4.0,2.7,4.0,3.0,RPL
Bambang Sembiring,2023,3.0,2.0,3.3,3.0,2.3,3.0,1.0,3.3,2.3,Cyber Security
Agus Wijaya,2023,2.7,4.0,3.0,1.0,3.0,4.0,3.3,2.0,3.3,RPL
Bambang Wijaya,2023,3.7,4.0,4.0,4.0,3.7,3.0,4.0,2.3,3.7,AI Engineering
Putri Aminah,2023,4.0,2.3,3.7,2.3,4.0,2.0,4.0,3.7,3.7,AI Engineering
Nyoman Kusuma,2023,3.0,4.0,2.3,2.0,3.7,3.7,4.0,2.0,2.7,AI Engineering
Andi Sari,2023,3.7,3.7,4.0,1.0,3.7,1.0,3.0,3.0,3.0,AI Engineering
Tania Nasution,2023,2.3,3.7,4.0,3.7,3.3,4.0,2.3,2.3,4.0,RPL
Nina Lubis,2023,2.7,3.7,4.0,3.3,1.0,3.7,3.7,2.7,3.7,RPL
Nyoman Nasution,2023,3.0,1.0,2.7,3.7,4.0,3.7,3.0,2.0,1.0,AI Engineering
Rina Kusuma,2023,3.7,4.0,4.0,2.0,4.0,3.7,1.0,2.7,3.7,RPL
Farhan Barus,2023,1.0,4.0,4.0,3.7,1.0,3.7,3.7,2.7,3.7,RPL
Iwan Rahayu,2023,3.0,3.7,2.3,3.7,1.0,4.0,2.3,4.0,2.7,Cyber Security
Laila Puspita,2023,3.3,3.7,3.7,3.0,3.0,3.7,2.3,3.3,4.0,RPL
Fajar Utami,2023,3.7,1.0,3.0,3.7,4.0,4.0,4.0,3.3,2.0,Cyber Security
Hana Lubis,2023,3.3,3.0,4.0,2.7,2.7,3.7,2.0,3.3,3.3,RPL
Fajar Tanjung,2023,2.3,4.0,3.0,3.3,2.0,3.0,2.7,3.0,4.0,RPL
Dewi Harahap,2023,3.3,3.0,2.7,3.3,2.3,2.3,3.0,3.0,3.7,Cyber Security
Iwan Zulkarnain,2023,3.3,3.0,4.0,1.0,3.7,3.7,3.0,2.3,3.0,AI Engineering
Bagas Wijaya,2023,3.0,4.0,1.0,4.0,4.0,2.0,3.7,1.0,2.3,AI Engineering
Siska Ramadhan,2023,2.7,2.3,3.7,4.0,3.7,1.0,4.0,3.3,3.3,Cyber Security
Nina Harahap,2023,4.0,4.0,3.0,3.3,2.0,3.0,2.3,2.7,3.3,RPL
Nyoman Mulyono,2023,2.3,3.3,2.0,3.7,3.0,2.3,3.3,3.7,4.0,Cyber Security
Fajar Hardi,2023,2.3,4.0,3.3,3.7,2.7,3.3,3.3,3.0,3.7,RPL
Maya Fitriani,2023,4.0,2.0,4.0,2.0,3.3,2.0,3.3,3.7,1.0,AI Engineering
Gita Lestari,2023,2.7,3.7,4.0,3.7,2.0,4.0,2.0,3.7,2.0,Cyber Security
Hana Hidayat,2023,2.0,3.0,4.0,4.0,3.7,3.7,3.7,3.7,3.7,RPL
Maya Aminah,2023,3.7,3.7,3.7,3.0,3.3,3.3,2.0,4.0,3.7,RPL
Maya Al-Faris,2023,3.3,3.0,3.3,2.3,3.7,2.0,3.3,4.0,2.3,AI Engineering
Dewi Ginting,2023,3.7,2.0,2.0,3.3,4.0,2.3,4.0,3.7,4.0,Cyber Security
Siti Al-Faris,2023,4.0,2.0,3.7,3.0,4.0,1.0,3.3,4.0,2.0,AI Engineering
Fajar Barus,2023,4.0,2.3,4.0,2.0,4.0,2.7,3.0,2.0,3.3,AI Engineering
Siska Setiawan,2023,3.7,2.0,2.0,3.7,2.0,3.3,2.3,3.3,3.0,Cyber Security
Citra Setiawan,2023,1.0,3.0,4.0,4.0,3.0,3.3,3.3,4.0,3.0,Cyber Security
Indah Situmorang,2023,2.3,3.3,3.7,3.3,3.0,3.0,3.3,3.3,2.0,Cyber Security
Andi Simanjuntak,2023,2.7,3.0,2.3,4.0,4.0,3.3,2.7,4.0,2.3,Cyber Security
Bagas Ginting,2023,3.0,3.3,3.0,2.3,4.0,3.3,3.0,2.0,3.3,RPL
Ayu Tanjung,2023,3.0,3.0,4.0,3.7,4.0,4.0,1.0,3.0,3.3,RPL
Ayu Manurung,2023,3.3,2.0,2.7,4.0,3.0,2.7,3.3,3.0,4.0,AI Engineering
Putu Utami,2023,4.0,1.0,3.7,2.7,3.0,2.7,3.7,3.0,2.0,AI Engineering
Farhan Rahayu,2023,3.0,1.0,2.3,2.0,4.0,2.7,3.0,2.0,3.7,AI Engineering
Aris Kurniawan,2023,3.0,2.3,2.7,3.7,3.0,2.0,3.3,3.0,2.7,AI Engineering
Dadan Nasution,2023,3.7,3.7,4.0,2.3,3.7,3.0,2.3,3.3,3.7,RPL
Bagas Wulandari,2023,2.0,2.0,2.7,3.7,3.7,3.7,4.0,3.7,3.3,Cyber Security
Gani Lubis,2023,2.3,3.3,3.7,1.0,3.3,3.0,3.7,2.0,3.7,RPL
Aris Setiawan,2023,2.0,3.7,4.0,3.0,4.0,3.0,2.0,3.3,3.7,Cyber Security
Made Utami,2023,2.7,2.7,1.0,3.3,2.7,1.0,3.0,3.7,1.0,Cyber Security
Siti Hasibuan,2023,2.7,3.7,4.0,3.7,3.3,4.0,1.0,3.3,4.0,RPL
Putu Sitepu,2023,2.7,1.0,2.0,3.7,3.7,2.7,2.0,3.7,4.0,Cyber Security
Taufik Hardi,2023,3.0,2.0,2.3,3.0,4.0,1.0,2.0,4.0,4.0,Cyber Security
Citra Puspita,2023,4.0,3.0,2.3,4.0,3.3,3.7,3.3,1.0,3.3,AI Engineering
Made Santoso,2023,3.7,4.0,3.3,2.0,3.0,1.0,3.3,3.0,4.0,AI Engineering
Indah Puspita,2023,3.3,3.7,3.0,3.7,1.0,1.0,4.0,4.0,3.0,Cyber Security
Putu Hardi,2023,2.7,3.7,3.0,3.0,3.7,1.0,1.0,3.7,3.7,Cyber Security
Joko Ginting,2023,3.3,2.7,3.0,3.3,2.3,1.0,3.7,3.7,3.7,Cyber Security
Dedi Barus,2023,3.7,2.7,2.7,3.3,2.3,3.3,4.0,3.3,2.7,Cyber Security
Indah Nasution,2023,3.3,3.0,3.7,3.7,3.0,3.7,2.0,3.0,3.3,RPL
Made Pohan,2023,3.0,3.0,4.0,2.0,3.7,3.3,2.3,3.3,4.0,RPL
Zaki Al-Faris,2023,2.7,3.7,3.7,3.0,3.7,2.7,3.3,3.3,4.0,Cyber Security
Rizky Saputra,2023,3.7,4.0,3.3,2.0,2.0,4.0,4.0,2.0,3.0,RPL
Lani Kusuma,2023,3.3,4.0,4.0,2.7,3.3,3.3,3.3,3.3,3.7,RPL
Gita Sembiring,2023,4.0,3.3,4.0,2.7,3.0,2.3,3.7,2.3,2.7,AI Engineering
Siti Manurung,2023,3.3,2.3,1.0,2.3,3.3,3.3,3.7,3.7,2.3,AI Engineering
Citra Barus,2023,2.3,3.3,4.0,3.7,4.0,3.3,2.0,2.7,3.3,RPL
Gita Nasution,2023,3.0,1.0,3.0,2.7,4.0,3.0,3.3,2.3,2.3,AI Engineering
Taufik Fitriani,2023,3.3,2.7,1.0,4.0,3.7,3.0,3.3,2.3,3.0,AI Engineering
Gita Kurniawan,2023,3.0,4.0,3.7,3.0,1.0,3.0,2.7,4.0,3.0,RPL
Nina Siahaan,2023,3.7,2.7,1.0,3.3,3.7,2.7,3.7,2.0,2.7,AI Engineering
Bagas Lubis,2023,1.0,4.0,4.0,3.3,3.7,1.0,3.3,3.0,3.7,Cyber Security
Gita Sitepu,2023,3.7,2.3,3.0,3.0,1.0,2.0,3.0,3.0,3.7,Cyber Security
Fajar Hardi,2023,1.0,2.7,3.0,3.7,3.0,2.3,4.0,3.3,1.0,Cyber Security
Budi Santoso,2023,2.3,3.3,2.3,3.3,2.7,2.3,2.7,4.0,2.7,Cyber Security
Eko Zulkarnain,2023,2.3,1.0,3.0,4.0,4.0,3.0,3.0,3.7,3.7,Cyber Security
Maya Aminah,2023,2.3,2.0,3.7,4.0,1.0,3.3,3.3,3.7,1.0,Cyber Security
Nina Susanto,2023,3.3,3.0,2.7,2.3,3.7,2.0,3.3,1.0,2.3,AI Engineering
Made Siregar,2023,3.3,4.0,1.0,4.0,3.3,2.0,3.0,2.7,3.7,AI Engineering
Indah Susanto,2023,2.3,3.0,3.0,2.3,3.3,3.7,2.7,3.0,4.0,RPL
Vina Lestari,2023,2.0,3.3,3.3,3.7,2.0,3.0,3.0,4.0,3.3,RPL
Siska Siregar,2023,4.0,4.0,1.0,3.7,3.7,4.0,3.3,4.0,1.0,AI Engineering
Laila Siahaan,2023,4.0,2.3,3.3,2.0,4.0,1.0,3.3,3.3,3.7,AI Engineering
Fajar Wulandari,2023,2.3,3.3,3.7,3.0,2.7,3.3,3.0,3.3,4.0,RPL
Nina Santoso,2023,3.3,3.3,3.7,3.7,2.0,4.0,1.0,2.3,3.0,RPL
Agus Zulkarnain,2023,3.3,2.3,3.7,4.0,3.3,3.7,3.3,4.0,2.3,AI Engineering
Ayu Ginting,2023,4.0,4.0,4.0,2.0,1.0,4.0,3.3,2.7,3.7,RPL
Rizky Wijaya,2023,3.3,3.0,3.0,1.0,2.7,3.7,2.7,3.7,3.3,RPL
Joko Chaniago,2023,4.0,3.7,3.0,3.7,4.0,2.7,3.7,3.3,4.0,AI Engineering
Bagas Sembiring,2023,4.0,3.7,3.3,3.7,3.0,4.0,3.3,2.7,3.7,RPL
Gita Kusuma,2023,2.7,4.0,4.0,3.0,3.0,3.0,1.0,2.3,3.7,RPL
Euis Zulkarnain,2023,3.7,3.7,3.7,3.0,2.3,3.7,1.0,2.3,3.3,RPL
Made Mulyono,2023,3.7,2.7,2.3,3.7,4.0,2.0,4.0,3.7,2.3,Cyber Security
Taufik Wijaya,2023,4.0,2.7,3.0,3.7,3.7,2.7,1.0,3.3,2.0,Cyber Security
Eko Hasibuan,2023,3.3,3.3,2.3,3.3,3.3,1.0,3.3,2.7,3.0,AI Engineering
Rosa Siahaan,2023,3.3,3.7,3.7,1.0,4.0,3.3,2.3,1.0,3.0,RPL
Farhan Kurniawan,2023,4.0,3.3,2.0,3.0,2.7,3.7,2.7,4.0,2.0,Cyber Security
Siti Situmorang,2024,1.0,2.7,2.7,3.7,3.7,2.7,4.0,3.0,3.3,Cyber Security
Hana Santoso,2024,3.3,2.7,3.7,3.7,3.3,1.0,3.0,2.3,2.0,AI Engineering
Hendra Lestari,2024,2.3,2.7,3.7,4.0,3.7,3.7,2.7,3.0,2.7,Cyber Security
Siti Pasaribu,2024,1.0,3.0,3.3,1.0,4.0,3.7,3.7,2.7,3.3,RPL
Gani Hardi,2024,3.3,1.0,2.7,3.7,4.0,2.7,3.0,3.3,2.0,AI Engineering
Vina Setiawan,2024,3.0,3.0,4.0,2.0,2.0,4.0,3.3,2.0,3.0,RPL
Andi Hidayat,2024,1.0,3.7,4.0,4.0,2.3,3.0,4.0,4.0,3.3,RPL
Farhan Fitriani,2024,3.7,4.0,3.0,3.7,4.0,3.7,1.0,2.0,3.7,RPL
Siska Situmorang,2024,3.7,1.0,3.0,4.0,3.0,1.0,3.0,2.7,3.7,AI Engineering
Putri Siregar,2024,1.0,2.7,2.3,3.7,3.0,3.7,2.0,3.7,4.0,Cyber Security
Taufik Aminah,2024,3.7,3.7,3.7,3.0,2.7,3.0,3.3,2.0,3.3,RPL
Dadan Kurniawan,2024,3.7,2.0,1.0,3.7,3.3,4.0,3.0,3.3,1.0,Cyber Security
Andi Santoso,2024,2.0,3.7,2.7,4.0,1.0,3.3,3.0,3.3,2.0,Cyber Security
Gita Saputra,2024,2.3,3.0,2.7,4.0,4.0,3.7,3.7,3.7,4.0,Cyber Security
Hana Simanjuntak,2024,3.3,2.7,3.3,3.3,4.0,3.3,3.3,3.7,2.3,Cyber Security
Nyoman Sembiring,2024,3.3,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.7,AI Engineering
Doni Saputra,2024,3.7,3.3,4.0,2.7,2.7,3.7,4.0,4.0,3.3,RPL
Tania Situmorang,2024,2.7,3.0,3.3,2.0,1.0,4.0,3.0,3.7,4.0,RPL
Ayu Chaniago,2024,2.3,3.0,4.0,4.0,2.0,3.0,3.3,2.3,4.0,RPL
Aris Hasibuan,2024,4.0,1.0,4.0,2.7,3.0,2.7,3.0,2.0,3.3,AI Engineering
Budi Wulandari,2024,4.0,4.0,3.7,3.3,4.0,4.0,2.0,2.7,3.7,RPL
Dadan Pratama,2024,1.0,3.7,3.3,3.3,2.3,3.7,2.0,2.3,4.0,RPL
Citra Hidayat,2024,3.0,1.0,3.7,3.0,1.0,3.7,2.3,3.7,2.3,Cyber Security
Putu Saputra,2024,4.0,4.0,3.7,3.7,2.0,2.7,3.0,4.0,3.7,Cyber Security
Iwan Lubis,2024,4.0,3.7,4.0,2.0,3.3,3.0,3.7,2.3,3.7,AI Engineering
Agus Kusuma,2024,3.0,4.0,1.0,2.3,3.0,3.3,3.7,2.7,1.0,AI Engineering
Joko Hasibuan,2024,3.3,1.0,2.7,3.0,4.0,4.0,3.7,4.0,2.0,AI Engineering
Eko Hidayat,2024,2.3,3.3,3.0,3.0,2.3,4.0,3.0,2.3,3.7,RPL
Nyoman Setiawan,2024,4.0,3.0,3.0,2.3,2.7,4.0,2.0,3.3,3.3,RPL
Iwan Situmorang,2024,3.3,4.0,2.3,3.7,3.7,2.0,4.0,4.0,2.7,AI Engineering
Lani Situmorang,2024,4.0,2.3,2.3,3.7,2.3,1.0,2.3,4.0,1.0,Cyber Security
Eko Lestari,2024,2.3,3.0,4.0,3.3,1.0,3.3,3.7,3.3,4.0,RPL
Lani Sari,2024,2.0,3.7,4.0,2.0,2.3,4.0,3.7,2.7,3.0,RPL
Ayu Santoso,2024,3.7,3.0,3.7,3.7,2.7,4.0,3.0,2.7,3.3,RPL
Hana Fitriani,2024,3.3,4.0,3.7,3.0,2.3,3.0,2.0,2.3,3.0,RPL
Taufik Lubis,2024,1.0,3.3,3.3,3.7,4.0,2.7,3.3,3.0,2.3,Cyber Security
Tania Harahap,2024,4.0,3.3,4.0,4.0,3.3,3.3,1.0,3.7,2.3,Cyber Security
Joko Siregar,2024,1.0,2.3,2.3,3.0,3.7,2.0,4.0,3.7,2.0,Cyber Security
Farhan Santoso,2024,2.7,3.0,2.0,3.0,3.3,3.0,3.0,3.0,2.0,Cyber Security
Gani Hidayat,2024,4.0,3.7,3.7,3.3,3.0,3.3,2.0,2.7,3.0,RPL
Rina Siregar,2024,2.0,4.0,4.0,2.0,3.7,3.7,2.3,4.0,3.7,RPL
Gani Chaniago,2024,3.7,2.7,4.0,3.3,2.7,2.3,3.7,3.7,1.0,Cyber Security
Hendra Susanto,2024,4.0,4.0,2.7,3.7,3.3,2.7,3.7,3.3,2.3,AI Engineering
Budi Tanjung,2024,4.0,2.7,2.3,3.0,2.7,4.0,2.7,3.3,2.0,Cyber Security
Putu Lestari,2024,3.7,2.7,3.0,3.0,2.0,4.0,4.0,3.7,3.3,Cyber Security
Eko Situmorang,2024,3.7,1.0,2.0,2.0,4.0,4.0,4.0,2.3,2.3,AI Engineering
Hana Susanto,2024,3.7,4.0,3.3,2.0,3.7,4.0,3.0,2.0,3.0,AI Engineering
Maya Sari,2024,2.3,4.0,4.0,1.0,1.0,3.7,3.0,4.0,3.7,RPL
Vina Sitepu,2024,1.0,4.0,3.3,2.3,2.0,3.7,3.3,3.3,3.7,RPL
Nyoman Rahayu,2024,3.7,4.0,3.7,2.3,4.0,4.0,2.3,4.0,3.7,RPL
Putri Wulandari,2024,4.0,2.0,4.0,3.0,3.7,2.7,4.0,3.0,2.0,AI Engineering
Rosa Manurung,2024,3.3,3.3,2.3,2.7,3.3,3.0,3.3,3.7,2.7,AI Engineering
Made Kurniawan,2024,3.0,3.3,3.3,2.3,4.0,4.0,3.0,1.0,2.7,AI Engineering
Hana Siregar,2024,2.7,4.0,3.3,3.3,3.0,1.0,2.0,3.0,3.7,Cyber Security
Tania Mulyono,2024,4.0,3.3,2.7,3.3,3.7,4.0,1.0,3.3,4.0,Cyber Security
Putri Harahap,2024,4.0,2.7,2.7,3.0,3.7,2.0,1.0,4.0,3.7,Cyber Security
Rina Wulandari,2024,1.0,3.7,2.7,3.0,3.3,3.7,2.0,4.0,3.7,Cyber Security
Rosa Siregar,2024,3.3,3.0,4.0,4.0,2.7,4.0,3.7,4.0,4.0,RPL
Eko Al-Faris,2024,2.0,4.0,4.0,1.0,1.0,3.7,2.7,2.0,3.7,RPL
Gita Al-Faris,2024,4.0,2.7,2.3,3.0,2.3,2.3,4.0,4.0,3.7,Cyber Security
Hana Kurniawan,2024,4.0,1.0,2.3,3.7,4.0,4.0,4.0,4.0,2.3,Cyber Security
Nina Wijaya,2024,3.7,3.3,3.7,3.0,1.0,3.7,4.0,2.7,4.0,RPL
Lani Sembiring,2024,3.3,2.3,1.0,3.0,3.7,1.0,3.0,2.0,3.3,AI Engineering
Taufik Chaniago,2024,3.3,3.3,3.0,4.0,2.3,3.3,2.0,3.7,3.7,RPL
Dadan Setiawan,2024,3.7,2.0,2.7,4.0,3.0,3.3,4.0,1.0,3.3,AI Engineering
Eko Simanjuntak,2024,3.3,2.0,1.0,2.0,3.7,4.0,3.3,3.3,3.0,AI Engineering
Ayu Hardi,2024,2.0,3.0,3.0,2.3,2.3,4.0,4.0,1.0,3.7,RPL
Hendra Chaniago,2024,2.3,3.3,4.0,3.3,2.3,3.3,2.3,3.0,3.0,RPL
Taufik Tanjung,2024,4.0,1.0,3.0,4.0,2.0,1.0,1.0,3.7,3.3,Cyber Security
Citra Setiawan,2024,1.0,3.0,3.7,2.0,3.3,3.7,1.0,2.3,3.7,RPL
Aris Ramadhan,2024,1.0,3.7,3.0,2.0,3.0,3.0,3.0,3.7,3.7,RPL
Maya Siahaan,2024,3.7,4.0,3.7,2.3,3.0,4.0,2.7,2.3,3.7,RPL
Euis Saputra,2024,1.0,3.7,3.0,3.7,1.0,3.0,3.7,3.3,1.0,Cyber Security
Citra Pratama,2024,3.3,4.0,3.7,1.0,3.3,2.3,3.0,3.0,2.0,AI Engineering
Putri Ramadhan,2024,1.0,4.0,4.0,1.0,3.0,3.3,4.0,1.0,3.0,RPL
Siska Siahaan,2024,3.7,2.3,1.0,4.0,2.3,2.7,2.3,3.7,4.0,Cyber Security
Citra Tanjung,2024,3.3,3.3,3.3,2.0,4.0,3.3,2.3,3.3,4.0,RPL
Joko Harahap,2024,2.3,4.0,3.3,3.7,2.7,4.0,4.0,2.3,3.3,RPL
Budi Tanjung,2024,3.3,2.7,1.0,1.0,3.0,3.0,3.3,3.3,4.0,AI Engineering
Farhan Chaniago,2024,2.7,4.0,2.3,3.0,2.0,3.0,3.3,3.0,2.7,Cyber Security
Taufik Mahendra,2024,3.0,2.3,3.3,4.0,3.7,2.0,1.0,4.0,2.0,Cyber Security
Putu Utami,2024,4.0,3.0,2.3,3.3,3.3,3.0,3.0,2.7,4.0,AI Engineering
Vina Mulyono,2024,4.0,2.7,3.7,3.3,3.3,3.0,3.0,4.0,3.0,AI Engineering
Fajar Wulandari,2024,4.0,1.0,3.0,3.7,3.0,1.0,3.0,4.0,2.7,AI Engineering
Rosa Santoso,2024,4.0,3.0,3.3,2.0,3.0,3.3,3.0,2.0,2.0,AI Engineering
Doni Fitriani,2024,1.0,3.3,4.0,2.7,2.3,4.0,1.0,2.0,4.0,RPL
Dedi Mulyono,2024,4.0,3.3,1.0,2.0,4.0,3.7,4.0,4.0,3.0,AI Engineering
Farhan Nasution,2024,4.0,2.7,4.0,3.3,3.7,2.3,3.0,1.0,3.0,AI Engineering
Euis Lestari,2024,3.3,3.7,3.0,3.3,4.0,3.3,3.7,3.7,2.0,AI Engineering
Nina Lubis,2024,3.0,2.0,2.0,3.3,3.3,3.7,3.7,3.7,4.0,AI Engineering
Made Kusuma,2024,2.0,3.3,3.3,3.0,3.7,2.7,2.0,3.0,3.0,Cyber Security
Citra Setiawan,2024,3.0,3.7,2.0,1.0,3.3,2.3,3.7,4.0,3.3,AI Engineering
Tania Simanjuntak,2024,3.0,2.0,2.0,3.7,2.7,3.7,3.3,3.0,1.0,Cyber Security
Gita Siregar,2024,3.7,3.0,4.0,4.0,3.7,3.3,3.7,2.3,3.0,AI Engineering
Rizky Pasaribu,2024,4.0,3.3,4.0,1.0,3.3,2.0,3.0,1.0,1.0,AI Engineering
Laila Hardi,2024,3.0,2.3,2.0,2.3,4.0,4.0,4.0,2.0,2.0,AI Engineering
Siska Utami,2024,4.0,2.3,2.0,2.7,3.0,2.3,4.0,2.7,1.0,AI Engineering
Rina Sembiring,2024,2.7,3.7,3.7,2.7,3.7,3.7,2.3,3.3,3.0,RPL
Putu Mulyono,2024,4.0,3.7,2.7,3.7,3.7,4.0,4.0,4.0,3.7,AI Engineering
Rina Wijaya,2024,2.7,3.3,3.7,2.7,3.7,3.3,4.0,1.0,3.7,RPL
Rosa Fitriani,2024,4.0,3.0,3.3,4.0,2.7,3.3,2.0,2.7,3.7,RPL
Aris Wulandari,2024,2.7,3.7,3.3,4.0,2.3,3.7,3.7,4.0,4.0,RPL
Lani Siahaan,2024,3.0,4.0,4.0,2.0,3.7,3.3,4.0,2.7,3.3,RPL
Aris Pasaribu,2024,4.0,3.7,3.7,1.0,3.7,3.0,1.0,3.7,4.0,RPL
Gani Mahendra,2024,3.7,2.0,3.3,3.7,4.0,2.7,3.0,4.0,3.3,AI Engineering
Euis Simanjuntak,2024,2.7,4.0,4.0,3.0,2.0,3.0,4.0,2.7,3.3,RPL
Dewi Lubis,2024,3.0,3.3,3.3,2.7,2.3,4.0,2.3,3.7,3.0,RPL
Laila Puspita,2024,3.3,3.7,3.7,3.3,2.0,1.0,3.3,4.0,3.3,Cyber Security
Taufik Chaniago,2024,3.3,1.0,3.0,3.3,3.7,4.0,3.3,3.7,1.0,Cyber Security
Budi Wulandari,2024,4.0,3.7,3.7,4.0,1.0,3.0,2.3,3.7,4.0,RPL
Rosa Lubis,2024,2.3,3.7,3.0,1.0,1.0,3.0,2.7,2.3,3.0,RPL
Tania Tanjung,2024,3.3,3.3,2.0,3.7,2.0,2.7,2.3,4.0,4.0,Cyber Security
Joko Pasaribu,2024,1.0,3.0,3.7,3.0,3.3,3.7,1.0,2.3,3.3,RPL
Maya Wijaya,2024,2.3,3.0,3.3,2.7,3.7,3.0,3.3,1.0,3.3,RPL
